index,日期,總處理廢棄物量,本市垃圾量小計,清潔隊清運量,自運一般垃圾量,一般事業垃圾量,災害廢棄物,污泥量,溝泥進場量,溝泥掩埋量,營建廢棄物,廚餘再利用量小計,其他有機廢棄物再利用量,堆肥廚餘再利用量,養豬廚餘再利用量,人口,物價指數
187,2001-08,85934.69,,53018.21,2441.64,29569.39,,0.0,,,0.0,0.0,,0.0,0.0,2636811,85.11
188,2001-09,204818.67,,174203.44,1746.23,27865.45,,0.0,,,0.0,0.0,,0.0,0.0,2634686,85.21
189,2001-10,145062.64,,115946.42,1709.19,26616.03,,0.0,,,0.0,0.0,,0.0,0.0,2634429,86.03
190,2001-11,102092.58,,74643.0,1979.0,24791.0,,0.0,,,0.0,0.0,,0.0,0.0,2634614,85.03
191,2001-12,78622.26000000001,,49684.0,1555.0,26651.0,,0.0,,,0.0,0.0,,0.0,0.0,2633802,84.09
192,2002-01,89058.37000000002,,58928.5,1966.73,26173.19,,1143.25,,,82.46,0.0,,0.0,0.0,2632515,84.0
193,2002-02,79990.0,,55024.09,1431.89,21721.86,,833.99,,,127.23,0.0,,0.0,0.0,2632010,85.48
194,2002-03,77275.4,,51355.99,949.3,23194.63,,922.31,,,59.59,0.0,,0.0,0.0,2632789,83.55
195,2002-04,76533.72000000003,,53413.27,882.03,20593.33,,854.46,,,36.32,0.0,,0.0,0.0,2634028,84.41
196,2002-05,80920.92,,55552.33,629.84,23405.51,,486.19,,,0.21,0.0,,0.0,0.0,2633611,84.06
197,2002-06,77373.28999999996,,51421.8,872.69,23806.19,,397.29,,,22.4,0.0,,0.0,0.0,2635678,84.54
198,2002-07,81549.81,,53737.19,1044.29,24946.55,,903.94,,,45.21,0.0,,0.0,0.0,2638142,84.61
199,2002-08,77814.25000000001,,53439.75,1089.94,21669.94,,826.11,,,32.91,0.0,,0.0,0.0,2637623,84.58
200,2002-09,71002.40000000001,,49313.34,971.75,19125.78,,850.71,,,8.07,0.0,,0.0,0.0,2637215,84.65
201,2002-10,71273.97,,49576.52,869.11,18984.5,,1143.95,,,0.91,0.0,,0.0,0.0,2639094,85.39
202,2002-11,68241.26,,45380.0,778.0,17917.0,,3291.0,,,247.0,0.0,,0.0,0.0,2641786,85.15
203,2002-12,70796.03,,47682.0,756.0,17257.0,,4081.0,,,357.0,0.0,,0.0,0.0,2641856,84.66
